ID,Brand,Description,Link,First Price,Current Price,Color,Colors available,Sizes,Image
1,PedrodelHierro,Bañador vichy PdH,/es/es/hombre/bano/banador-vichy-pdh/9149112.html,"59,99 €",29.99,[],0,"['S', 'M', 'L', 'XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ff-master-catalog/default/dwbbaed2ab/images/hi-res/P_914911214FM.jpg?sw=160&sh=240&sm=fit
2,milano,Bañador básico secado rápido,/es/es/hombre/bano/banador-basico-secado-rapido/9149120.html,"39,99 €",15.99,['Verde'],1,"['S', 'M', 'L', 'XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ff-master-catalog/default/dw8961a812/images/hi-res/P_914912027FM.jpg?sw=160&sh=240&sm=fit
3,milano,Bañador básico secado rápido,/es/es/hombre/bano/banador-basico-secado-rapido/9149120.html,"39,99 €",15.99,['Rojo'],1,"['S', 'M', 'L', 'XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ff-master-catalog/default/dw7c8d90c1/images/hi-res/P_914912069FM.jpg?sw=160&sh=240&sm=fit
4,milano,Bañador estampado secado rápido,/es/es/hombre/bano/banador-estampado-secado-rapido/9149171.html,"39,99 €",17.99,[],0,"['S', 'M', 'L', 'XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ff-master-catalog/default/dwb0b05c92/images/hi-res/P_914917119FM.jpg?sw=160&sh=240&sm=fit
5,milano,Bañador estampado secado rápido,/es/es/hombre/bano/banador-estampado-secado-rapido/9149163.html,"39,99 €",17.99,[],0,"['S', 'M', 'L', 'XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ff-master-catalog/default/dw6705fd15/images/hi-res/P_914916319FM.jpg?sw=160&sh=240&sm=fit
6,milano,Bañador estampado secado rápido,/es/es/hombre/bano/banador-estampado-secado-rapido/9149155.html,"39,99 €",17.99,[],0,"['S', 'M', 'L', 'XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ff-master-catalog/default/dw0df2f26e/images/hi-res/P_914915512FM.jpg?sw=160&sh=240&sm=fit
7,Cortefiel,Bañador microestampado poliéster reciclado,/es/es/hombre/bano/banador-microestampado-poliester-reciclado/2327163.html,"49,99 €",9.99,[],0,"['S', 'M', 'L', 'XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ctf-master-catalog/default/dwedcffcdd/images/hi-res/P_232716310FM.jpg?sw=160&sh=240&sm=fit
8,Cortefiel,Bañador liso vintage,/es/es/hombre/bano/banador-liso-vintage/2327244.html,"49,99 €",9.99,['Azul'],1,"['S', 'L', 'XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ctf-master-catalog/default/dwd9d693df/images/hi-res/P_232724412FM.jpg?sw=160&sh=240&sm=fit
9,Cortefiel,Bañador liso,/es/es/hombre/bano/banador-liso/2327155.html,"49,99 €",9.99,['Verde'],1,"['S', 'L', 'XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ctf-master-catalog/default/dwb46eda83/images/hi-res/P_232715523FM.jpg?sw=160&sh=240&sm=fit
10,cortefiel,Bañador microestampado poliéster reciclado,/es/es/hombre/bano/banador-microestampado-poliester-reciclado/2327171.html,"49,99 €",9.99,[],0,"['S', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ctf-master-catalog/default/dw05670151/images/hi-res/P_232717124FM.jpg?sw=160&sh=240&sm=fit
11,Cortefiel,Bañador liso vintage,/es/es/hombre/bano/banador-liso-vintage/2327244.html,"49,99 €",9.99,['Rojo'],1,"['XL', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ctf-master-catalog/default/dw738a3de1/images/hi-res/P_232724463FM.jpg?sw=160&sh=240&sm=fit
12,Cortefiel,Bañador estampado floral,/es/es/hombre/bano/banador-estampado-floral/2325209.html,"49,99 €",9.99,[],0,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ctf-master-catalog/default/dw360175f5/images/hi-res/P_232520912FM.jpg?sw=160&sh=240&sm=fit
13,springfield,Bañador estampado digital,/es/es/hombre/bano/banador-estampado-digital/0595942.html,"25,99 €",7.99,[],0,['M'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw351c41e6/images/hi-res/P_059594217FM.jpg?sw=160&sh=240&sm=fit
14,Cortefiel,Bañador liso,/es/es/hombre/bano/banador-liso/2327155.html,"49,99 €",9.99,['Azul'],1,['XL'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-ctf-master-catalog/default/dwc386de63/images/hi-res/P_232715510FM.jpg?sw=160&sh=240&sm=fit
15,springfield,Bañador nylon liso,/es/es/hombre/bano/banador-nylon-liso/0595810.html,"22,99 €",7.99,[],0,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dwbdd03b6c/images/hi-res/P_059581023FM.jpg?sw=160&sh=240&sm=fit
16,springfield,Bañador nylon liso 'quickdry',/es/es/hombre/bano/banador-nylon-liso-quickdry/0597155.html,"22,99 €",7.99,['azul city'],1,"['XS', 'S', 'M', 'XXL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw6e2ef555/images/hi-res/P_059715581FM.jpg?sw=160&sh=240&sm=fit
17,springfield,"Bañador poliéster reciclado ""quickdry""",/es/es/hombre/bano/banador-poliester-reciclado-quickdry/0597244.html,"22,99 €",7.99,['violeta'],1,"['S', 'XL']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dwdca09ccc/images/hi-res/P_059724489FM.jpg?sw=160&sh=240&sm=fit
18,springfield,"Bañador ""quickdry""",/es/es/hombre/bano/banador-quickdry/0597139.html,"22,99 €",7.99,[],0,"['XS', 'S']",https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dwe4d9fa34/images/hi-res/P_059713919FM.jpg?sw=160&sh=240&sm=fit
19,springfield,Bañador estampado geométrico,/es/es/hombre/bano/banador-estampado-geometrico/0597147.html,"25,99 €",7.99,['navy mezcla'],1,['XXL'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw56787e36/images/hi-res/P_059714719FM.jpg?sw=160&sh=240&sm=fit
20,springfield,Bañador nylon liso 'quickdry',/es/es/hombre/bano/banador-nylon-liso-quickdry/0597155.html,"22,99 €",7.99,['azul'],1,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw4c8a4e85/images/hi-res/P_059715515FM.jpg?sw=160&sh=240&sm=fit
21,springfield,Bañador básico estampado,/es/es/hombre/bano/banador-basico-estampado/0595012.html,"22,99 €",7.99,[],0,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw8db42a0d/images/hi-res/P_059501213FM.jpg?sw=160&sh=240&sm=fit
22,springfield,Bañador básico estampado,/es/es/hombre/bano/banador-basico-estampado/0595802.html,"22,99 €",7.99,[],0,['02'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw4b187ee7/images/hi-res/P_059580260FM.jpg?sw=160&sh=240&sm=fit
23,springfield,Bañador estampado quickdry,/es/es/hombre/bano/banador-estampado-quickdry/0595020.html,"22,99 €",7.99,[],0,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw83258371/images/hi-res/P_059502023FM.jpg?sw=160&sh=240&sm=fit
24,springfield,"Bañador poliéster reciclado ""quickdry""",/es/es/hombre/bano/banador-poliester-reciclado-quickdry/0597244.html,"22,99 €",7.99,['navy mezcla'],1,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dwbf4b14d7/images/hi-res/P_059724419FM.jpg?sw=160&sh=240&sm=fit
25,springfield,Bañador estampado geométrico,/es/es/hombre/bano/banador-estampado-geometrico/0597147.html,"25,99 €",7.99,['esmeralda'],1,['XXL'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw61e178de/images/hi-res/P_059714729FM.jpg?sw=160&sh=240&sm=fit
26,springfield,Bañador nylon liso 'quickdry',/es/es/hombre/bano/banador-nylon-liso-quickdry/0597155.html,"22,99 €",7.99,['azulado'],1,['XXL'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dwdbc51a39/images/hi-res/P_059715512FM.jpg?sw=160&sh=240&sm=fit
27,springfield,Bañador nylon liso,/es/es/hombre/bano/banador-nylon-liso/0595780.html,"22,99 €",7.99,[],0,['02'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw91831a23/images/hi-res/P_059578060FM.jpg?sw=160&sh=240&sm=fit
28,springfield,Bañador básico estampado,/es/es/hombre/bano/banador-basico-estampado/0595888.html,"22,99 €",7.99,[],0,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw55a610f0/images/hi-res/P_059588873FM.jpg?sw=160&sh=240&sm=fit
29,springfield,"Bañador nylon ""quickdry""",/es/es/hombre/bano/banador-nylon-quickdry/0597066.html,"25,99 €",7.99,[],0,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dwfa2c8d43/images/hi-res/P_059706623FM.jpg?sw=160&sh=240&sm=fit
30,springfield,Bañador estampado quickdry,/es/es/hombre/bano/banador-estampado-quickdry/0595047.html,"22,99 €",7.99,[],0,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dwe8e75a6e/images/hi-res/P_059504711FM.jpg?sw=160&sh=240&sm=fit
31,springfield,Bañador básico estampado,/es/es/hombre/bano/banador-basico-estampado/0595012.html,"22,99 €",7.99,['azulado'],1,['S'],https://fiftyoutlet.com/dw/image/v2/AAYL_PRD/on/demandware.static/-/Sites-gc-spf-master-catalog/default/dw897b7073/images/hi-res/P_059501212FM.jpg?sw=160&sh=240&sm=fit
